町丁名,可燃ごみ,びん・缶・ペットボトル,古紙・布類,不燃ごみ・有害ごみ(危険物)
天戸町,火・金,月,水,1・3木
朝日ケ丘1～5丁目,月・木,火,水,1・3金
内山町,火・金,月,木,2・4水
宇那谷町,火・金,月,木,2・4水
柏井町,水・土,金,火,2・4木
柏井1・4丁目,水・土,金,火,2・4木
検見川町1～3・5丁目,水・土,木,金,2・4月
犢橋町,水・土,月,金,1・3火
こてはし台1～6丁目,火・金,土,月,2・4水
作新台1～8丁目,月・木,土,水,1・3火
さつきが丘1・2丁目,水・土,木,金,2・4火
三角町,火・金,月,木,2・4水
大日町,火・金,月,木,2・4水
武石町1・2丁目,水・土,木,金,1・3火
千種町,火・金,月,木,2・4土
長作町,月・木,火,水,2・4土
長作台1・2丁目,月・木,火,水,2・4土
浪花町,水・土,火,木,2・4月
西小中台,月・木,水,火,2・4土
畑町,月・木,火,水,1・3土
花島町,水・土,金,火,1・3木
花園町,火・金,土,木,2・4月
花園1～5丁目,火・金,土,木,1・3月
花見川,火・金,水,木,1・3土
幕張町1～3丁目,火・金,月,木,1・3水
幕張町4丁目,水・土,金,木,2・4月
幕張町5・6丁目,月・木,金,火,1・3水
幕張本郷1・3・5丁目,水・土,火,月,1・3木
幕張本郷2・4・6・7丁目,水・土,金,月,1・3木
南花園1・2丁目,火・金,土,木,2・4水
宮野木台1～4丁目,月・木,水,火,1・3金
瑞穂1～3丁目,月・木,火,水,1・3土
横戸町,水・土,月,火,2・4金
横戸台,水・土,金,火,1・3木
