町丁名,可燃ごみ,びん・缶・ペットボトル,古紙・布類,不燃ごみ・有害ごみ(危険物)
磯辺1～5丁目,月・木,土,金,1・3火
磯辺6～8丁目,水・土,月,金,1・3火
稲毛海岸1・2・4丁目,月・木,水,火,1・3土
稲毛海岸3・5丁目,月・木,金,火,1・3土
打瀬1丁目,※,水,金,2・4火
打瀬2・3丁目,※,木,金,2・4火
幸町1丁目,月・木,土,金,1・3火
幸町2丁目,水・土,火,金,1・3木
新港,水・土,月,金,1・3木
高洲1丁目,火・金,水,月,2・4木
高洲2丁目,水・土,木,金,2・4火
高洲3丁目,火・金,土,月,1・3水
高洲4丁目,火・金,木,月,2・4水
高浜1～3丁目,水・土,月,金,1・3木
高浜4丁目,水・土,月,木,2・4金
高浜5・6丁目,水・土,月,金,1・3木
豊砂,月・木,水,火,1・3金
浜田1・2丁目,月・木,水,火,1・3金
幕張西1～6丁目,火・金,水,木,2・4月
真砂1丁目,火・金,月,木,2・4土
真砂2丁目,火・金,月,木,1・3水
真砂3丁目,火・金,水,月,2・4木
真砂4丁目,月・木,水,火,1・3土
真砂5丁目,月・木,金,火,1・3土
