町丁名,可燃ごみ,びん・缶・ペットボトル,古紙・布類,不燃ごみ・有害ごみ(危険物)
青葉町,月・木,金,火,1・3水
赤井町,火・金,木,月,1・3水
旭　町,水・土,火,金,1・3月
市場町,月・木,火,水,2・4金
稲荷町1～3丁目,月・木,土,水,2・4火
亥鼻1～3丁目,火・金,水,木,1・3土
今井町,月・木,火,水,2・4土
今井1～3丁目,月・木,金,水,2・4火
院内1・2丁目,水・土,金,木,1・3月
鵜の森町,月・木,土,火,1・3水
大森町,水・土,月,火,2・4金
生実町,火・金,土,月,2・4木
春日1・2丁目,水・土,月,火,1・3木
葛城1～3丁目,火・金,月,木,1・3土
要町,水・土,火,金,1・3月
亀井町,水・土,火,金,1・3月
亀岡町,水・土,火,金,1・3月
川戸町,水・土,火,金,2・4月
栄町,水・土,火,金,1・3月
寒川町1～3丁目,月・木,水,火,1・3土
塩田町,月・木,金,火,2・4土
汐見丘町,水・土,月,火,1・3木
白旗1～3丁目,火・金,月,木,1・3水
新宿1・2丁目,水・土,火,金,1・3月
新千葉1～3丁目,水・土,金,木,1・3月
新田町,水・土,金,木,1・3月
新町,水・土,金,木,1・3月
神明町,水・土,火,金,1・3月
末広1～5丁目,月・木,水,火,1・3金
蘇我町2丁目,月・木,水,火,2・4土
蘇我1～5丁目,月・木,水,火,2・4土
大巌寺町,月・木,火,水,2・4土
千葉寺町,月・木,火,水,2・4土
千葉港,水・土,金,木,1・3月
中央1～4丁目,月・木,水,火,2・4金
中央港1・2丁目,水・土,金,木,1・3月
椿森1～6丁目,火・金,木,月,1・3土
鶴沢町,水・土,金,木,1・3月
出洲港,水・土,木,火,1・3月
道場北町,火・金,水,月,2・4木
道場北1・2丁目,火・金,水,月,2・4木
道場南1・2丁目,火・金,土,月,2・4木
問屋町,水・土,金,木,1・3月
長洲1・2丁目,月・木,金,火,1・3水
仁戸名町,水・土,木,金,1・3火
登戸1～5丁目,水・土,月,火,1・3金
花輪町,火・金,土,月,1・3水
浜野町,火・金,水,月,2・4木
東千葉1～3丁目,火・金,木,月,1・3土
東本町,水・土,火,金,1・3月
富士見1・2丁目,水・土,火,金,1・3月
弁天1～4丁目,月・木,金,火,2・4水
星久喜町,月・木,土,水,1・3金
本千葉町,水・土,火,金,1・3月
本町1～3丁目,水・土,火,金,1・3月
松ヶ丘町,水・土,金,火,2・4月
松波1～4丁目,月・木,土,水,1・3金
港町,月・木,金,火,1・3水
南生実町,火・金,土,月,2・4木
南町1～3丁目,火・金,月,木,1・3水
都町,火・金,木,月,2・4土
都町1～3丁目,火・金,木,月,2・4土
宮崎町,水・土,金,火,2・4月
宮崎1・2丁目,月・木,水,火,2・4土
村田町,火・金,土,月,2・4木
矢作町,月・木,火,水,1・3金
祐光1～4丁目,火・金,水,月,2・4木
若草1丁目,月・木,金,火,2・4土
