町丁名,可燃ごみ,びん・缶・ペットボトル,古紙・布類,不燃ごみ・有害ごみ(危険物)
愛生町,水・土,月,火,2・4木
五十土町,火・金,木,水,1・3月
和泉町,火・金,木,月,1・3水
大井戸町,火・金,木,水,1・3月
大草町,月・木,火,水,1・3土
太田町,水・土,金,木,1・3月
大広町,火・金,木,水,1・3月
大宮町,水・土,金,木,2・4月
大宮台1～7丁目,水・土,金,木,2・4月
小倉町,水・土,金,木,1・3火
小倉台1～7丁目,水・土,木,金,1・3火
小間子町,火・金,木,水,1・3月
御成台1～4丁目,火・金,水,木,1・3月
貝塚町,火・金,月,木,2・4水
貝塚1・2丁目,火・金,月,木,2・4水
加曽利町,水・土,月,金,1・3木
金親町,月・木,火,水,1・3土
上泉町,火・金,木,水,1・3月
川井町,火・金,木,水,1・3月
北大宮台,水・土,金,木,2・4月
北谷津町,月・木,火,水,1・3土
古泉町,火・金,木,月,1・3水
御殿町,火・金,木,水,1・3月
坂月町,水・土,火,木,1・3月
更科町,火・金,木,水,1・3月
佐和町,火・金,木,水,1・3月
桜木1～8丁目,月・木,火,水,1・3土
桜木北1～3丁目,月・木,火,水,1・3土
下泉町,火・金,木,水,1・3月
下田町,火・金,土,水,1・3月
高根町,火・金,土,水,1・3月
多部田町,火・金,木,水,1・3月
旦谷町,火・金,土,水,1・3月
高品町,火・金,月,木,1・3水
千城台北1～4丁目,火・金,土,月,1・3木
千城台西1～3丁目,水・土,火,月,1・3木
千城台東1・2丁目,月・木,土,水,2・4金
千城台東3・4丁目,月・木,土,金,2・4水
千城台南1・2丁目,月・木,火,金,1・3水
千城台南3・4丁目,月・木,土,金,1・3水
都賀1～4丁目,火・金,水,月,2・4土
都賀5丁目,火・金,月,木,2・4水
都賀の台1～4丁目,月・木,水,火,2・4金
殿台町,水・土,金,火,1・3木
富田町,火・金,木,月,1・3水
中田町,火・金,月,木,1・3水
中野町,火・金,木,月,1・3水
西都賀1～5丁目,火・金,土,月,1・3水
野呂町,火・金,木,月,1・3水
原町,月・木,金,火,2・4水
東寺山町,水・土,月,火,1・3木
みつわ台1～5丁目,水・土,金,木,2・4火
源町,水・土,金,火,2・4木
谷当町,火・金,土,水,1・3月
若松町,月・木,水,金,1・3火
若松台1～3丁目,月・木,水,金,1・3火
